restaurant_id,name,capacity,type,id
1,1GEN01,8,GENERAL,1
1,1GEN02,8,GENERAL,2
1,1GEN03,8,GENERAL,3
1,1OUT01,8,OUTDOOR,4
1,1OUT02,8,OUTDOOR,5
1,1WIN01,8,WINDOW,6
1,1WIN02,8,WINDOW,7
2,2GEN01,8,GENERAL,8
2,2GEN02,8,GENERAL,9
2,2GEN03,8,GENERAL,10
2,2OUT01,8,OUTDOOR,11
2,2OUT02,8,OUTDOOR,12
3,3GEN01,8,GENERAL,13
3,3GEN02,8,GENERAL,14
3,3GEN03,8,GENERAL,15
3,3OUT01,8,OUTDOOR,16
3,3OUT02,8,OUTDOOR,17
3,3WIN01,8,WINDOW,18
3,3WIN02,8,WINDOW,19
4,4GEN01,8,GENERAL,20
4,4GEN02,8,GENERAL,21
4,4GEN03,8,GENERAL,22
4,4OUT01,8,OUTDOOR,23
4,4OUT02,8,OUTDOOR,24
4,4WIN01,8,WINDOW,25
4,4WIN02,8,WINDOW,26
5,5GEN01,8,GENERAL,27
5,5GEN02,8,GENERAL,28
5,5GEN03,8,GENERAL,29
6,6GEN01,8,GENERAL,30
6,6GEN02,8,GENERAL,31
6,6GEN03,8,GENERAL,32
6,6OUT01,8,OUTDOOR,33
6,6OUT02,8,OUTDOOR,34
6,6WIN01,8,WINDOW,35
6,6WIN02,8,WINDOW,36
7,7GEN01,8,GENERAL,37
7,7GEN02,8,GENERAL,38
7,7GEN03,8,GENERAL,39
8,8GEN01,8,GENERAL,40
8,8GEN02,8,GENERAL,41
8,8GEN03,8,GENERAL,42
8,8WIN01,8,WINDOW,43
8,8WIN02,8,WINDOW,44
9,9GEN01,8,GENERAL,45
9,9GEN02,8,GENERAL,46
9,9GEN03,8,GENERAL,47
10,10GEN01,8,GENERAL,48
10,10GEN02,8,GENERAL,49
10,10GEN03,8,GENERAL,50
10,10OUT01,8,OUTDOOR,51
10,10OUT02,8,OUTDOOR,52
51,51GEN01,8,GENERAL,53
51,51GEN02,8,GENERAL,54
51,51GEN03,8,GENERAL,55
51,51OUT01,8,OUTDOOR,56
51,51OUT02,8,OUTDOOR,57
51,51WIN01,8,WINDOW,58
51,51WIN02,8,WINDOW,59
52,52GEN01,8,GENERAL,60
52,52GEN02,8,GENERAL,61
52,52GEN03,8,GENERAL,62
52,52OUT01,8,OUTDOOR,63
52,52OUT02,8,OUTDOOR,64
53,53GEN01,8,GENERAL,65
53,53GEN02,8,GENERAL,66
53,53GEN03,8,GENERAL,67
53,53WIN01,8,WINDOW,68
53,53WIN02,8,WINDOW,69
54,54GEN01,8,GENERAL,70
54,54GEN02,8,GENERAL,71
54,54GEN03,8,GENERAL,72
54,54OUT01,8,OUTDOOR,73
54,54OUT02,8,OUTDOOR,74
55,55GEN01,8,GENERAL,75
55,55GEN02,8,GENERAL,76
55,55GEN03,8,GENERAL,77
55,55WIN01,8,WINDOW,78
55,55WIN02,8,WINDOW,79
56,56GEN01,8,GENERAL,80
56,56GEN02,8,GENERAL,81
56,56GEN03,8,GENERAL,82
56,56WIN01,8,WINDOW,83
56,56WIN02,8,WINDOW,84
57,57GEN01,8,GENERAL,85
57,57GEN02,8,GENERAL,86
57,57GEN03,8,GENERAL,87
57,57OUT01,8,OUTDOOR,88
57,57OUT02,8,OUTDOOR,89
58,58GEN01,8,GENERAL,90
58,58GEN02,8,GENERAL,91
58,58GEN03,8,GENERAL,92
58,58OUT01,8,OUTDOOR,93
58,58OUT02,8,OUTDOOR,94
59,59GEN01,8,GENERAL,95
59,59GEN02,8,GENERAL,96
59,59GEN03,8,GENERAL,97
59,59OUT01,8,OUTDOOR,98
59,59OUT02,8,OUTDOOR,99
59,59WIN01,8,WINDOW,100
59,59WIN02,8,WINDOW,101
60,60GEN01,8,GENERAL,102
60,60GEN02,8,GENERAL,103
60,60GEN03,8,GENERAL,104
60,60OUT01,8,OUTDOOR,105
60,60OUT02,8,OUTDOOR,106
60,60WIN01,8,WINDOW,107
60,60WIN02,8,WINDOW,108
101,101GEN01,8,GENERAL,109
101,101GEN02,8,GENERAL,110
101,101GEN03,8,GENERAL,111
101,101OUT01,8,OUTDOOR,112
101,101OUT02,8,OUTDOOR,113
101,101WIN01,8,WINDOW,114
101,101WIN02,8,WINDOW,115
102,102GEN01,8,GENERAL,116
102,102GEN02,8,GENERAL,117
102,102GEN03,8,GENERAL,118
102,102WIN01,8,WINDOW,119
102,102WIN02,8,WINDOW,120
103,103GEN01,8,GENERAL,121
103,103GEN02,8,GENERAL,122
103,103GEN03,8,GENERAL,123
103,103OUT01,8,OUTDOOR,124
103,103OUT02,8,OUTDOOR,125
103,103WIN01,8,WINDOW,126
103,103WIN02,8,WINDOW,127
104,104GEN01,8,GENERAL,128
104,104GEN02,8,GENERAL,129
104,104GEN03,8,GENERAL,130
105,105GEN01,8,GENERAL,131
105,105GEN02,8,GENERAL,132
105,105GEN03,8,GENERAL,133
105,105OUT01,8,OUTDOOR,134
105,105OUT02,8,OUTDOOR,135
105,105WIN01,8,WINDOW,136
105,105WIN02,8,WINDOW,137
106,106GEN01,8,GENERAL,138
106,106GEN02,8,GENERAL,139
106,106GEN03,8,GENERAL,140
106,106OUT01,8,OUTDOOR,141
106,106OUT02,8,OUTDOOR,142
106,106WIN01,8,WINDOW,143
106,106WIN02,8,WINDOW,144
107,107GEN01,8,GENERAL,145
107,107GEN02,8,GENERAL,146
107,107GEN03,8,GENERAL,147
107,107WIN01,8,WINDOW,148
107,107WIN02,8,WINDOW,149
108,108GEN01,8,GENERAL,150
108,108GEN02,8,GENERAL,151
108,108GEN03,8,GENERAL,152
108,108OUT01,8,OUTDOOR,153
108,108OUT02,8,OUTDOOR,154
108,108WIN01,8,WINDOW,155
108,108WIN02,8,WINDOW,156
109,109GEN01,8,GENERAL,157
109,109GEN02,8,GENERAL,158
109,109GEN03,8,GENERAL,159
109,109OUT01,8,OUTDOOR,160
109,109OUT02,8,OUTDOOR,161
109,109WIN01,8,WINDOW,162
109,109WIN02,8,WINDOW,163
110,110GEN01,8,GENERAL,164
110,110GEN02,8,GENERAL,165
110,110GEN03,8,GENERAL,166
110,110WIN01,8,WINDOW,167
110,110WIN02,8,WINDOW,168
151,151GEN01,8,GENERAL,169
151,151GEN02,8,GENERAL,170
151,151GEN03,8,GENERAL,171
151,151WIN01,8,WINDOW,172
151,151WIN02,8,WINDOW,173
152,152GEN01,8,GENERAL,174
152,152GEN02,8,GENERAL,175
152,152GEN03,8,GENERAL,176
152,152WIN01,8,WINDOW,177
152,152WIN02,8,WINDOW,178
153,153GEN01,8,GENERAL,179
153,153GEN02,8,GENERAL,180
153,153GEN03,8,GENERAL,181
154,154GEN01,8,GENERAL,182
154,154GEN02,8,GENERAL,183
154,154GEN03,8,GENERAL,184
154,154OUT01,8,OUTDOOR,185
154,154OUT02,8,OUTDOOR,186
154,154WIN01,8,WINDOW,187
154,154WIN02,8,WINDOW,188
155,155GEN01,8,GENERAL,189
155,155GEN02,8,GENERAL,190
155,155GEN03,8,GENERAL,191
155,155OUT01,8,OUTDOOR,192
155,155OUT02,8,OUTDOOR,193
155,155WIN01,8,WINDOW,194
155,155WIN02,8,WINDOW,195
156,156GEN01,8,GENERAL,196
156,156GEN02,8,GENERAL,197
156,156GEN03,8,GENERAL,198
